Brand,Model Name,Capacity in Tons,Cooling Capacity,Compressor,Dehumidification,Refrigerant,Indoor,Indoor Unit Weight,Outdoor,Outdoor Unit Weight,ISEER,Annual Electricity Consumption,URL,image_URL
CARRIER,18K ESTER DXi INVERTER R32 SPLIT AC_CAI18ES5R32F0,1.5 Ton,5000 W,Rotary,Yes,R - 32,94 cm x 27.5 cm x 20.5 cm,10.3 kg,79 cm x 54 cm x 28 cm,27.1 kg,5.13 W/W,754.05 kWh,https://www.flipkart.com/carrier-1-5-ton-5-star-split-inverter-ac-white/p/itm23c012a2d5f9c?pid=ACNGG54VYZXZXZ5V&lid=LSTACNGG54VYZXZXZ5VBBKCUC&marketplace=FLIPKART&q=CARRIER+1.5+Ton+5+Star+Split+Inverter+AC++-+White&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=395d37c5-79df-438a-8558-afdb95b5621c.ACNGG54VYZXZXZ5V.SEARCH&ppt=None&ppn=None&ssid=adxyjl2lfk0000001692377844775&qH=a42c9754bdfffb44,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/h/5/i/-original-imagha8sgzfjhvgk.jpeg?q=70']
Voltas,183V Vectra Pride(4503445),1.5 Ton,4800 W,High EER Rotary- BLDC,Yes,R-32,80 cm x 29.2 cm x 22.2 cm,9.5 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,975.26 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itm1899f61b96cd2?pid=ACNGHUNG3FWVG7NJ&lid=LSTACNGHUNG3FWVG7NJWDIXNC&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=FkPickId_j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNG3FWVG7NJ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/r/p/k/-original-imagkqs8xkt8hhfw.jpeg?q=70']
Voltas,185V Vectra Elegant(4503452),1.5 Ton,4850 W,High EER Rotary- BLDC,Yes,R-32,96 cm x 31.7 cm x 23.5 cm,11.1 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,751.28 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itmf88b19b31614f?pid=ACNGHUNGHUAGZFUZ&lid=LSTACNGHUNGHUAGZFUZL6FNSG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNGHUAGZFUZ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70']
Voltas,185V Vectra Elegant(4503452),1.5 Ton,4850 W,High EER Rotary- BLDC,Yes,R-32,96 cm x 31.7 cm x 23.5 cm,11.1 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,751.28 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itmf88b19b31614f?pid=ACNGHUNGHUAGZFUZ&lid=LSTACNGHUNGHUAGZFUZL6FNSG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNGHUAGZFUZ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70']
Daikin,FTL28UV16W1/RL28UV16W1/FTL28UV16W1,0.8 Ton,2800 W,Rotary Compressor,Yes,R-32,80 cm x 29.8 cm x 22.9 cm,9.5 kg,67.5 cm x 55 cm x 28.4 cm,26.5 kg,,548.84 kWh,https://www.flipkart.com/daikin-2023-model-0-8-ton-3-star-split-ac-pm-2-5-filter-white/p/itmf9dcb68481acf?pid=ACNGB2YAT4K4DQRH&lid=LSTACNGB2YAT4K4DQRHABULNH&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGB2YAT4K4DQRH.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/kzrbiq80/air-conditioner-new/x/9/6/-original-imagbp2vmjdwthw6.jpeg?q=70']
Haier,HS17V-TMS3BE-INV/HU17-3BE-INV / HSU17V-TMS3BE-INV,1.5 Ton,4600 W,Inverter,No,R - 32,95.4 cm x 35.5 cm x 27.9 cm,10 kg,85.5 cm x 60.5 cm x 35.5 cm,22 kg,3.85 W/W,925.24 kWh,https://www.flipkart.com/haier-frost-self-clean-2023-model-1-5-ton-3-star-split-inverter-cooling-extreme-temperature-super-anti-corrosion-ac-white/p/itm05d5401786ed5?pid=ACNGMF2GSYP7KKNP&lid=LSTACNGMF2GSYP7KKNPTVTN4S&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGMF2GSYP7KKNP.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/n/x/r/-original-imagpfkpmva8uq5u.jpeg?q=70']
Lloyd,GLS18I3KWSEA,1.5 Ton,5050 W,Rotary,Yes,R - 32,99.7 cm x 34.3 cm x 20.5 cm,12.1 kg,87 cm x 56 cm x 36.5 cm,26.7 kg,3.91 W/W,999.49 kWh,https://www.flipkart.com/lloyd-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itmbc9caac424b61?pid=ACNGPHRZCXEXTUHY&lid=LSTACNGPHRZCXEXTUHY5WZ1NQ&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGPHRZCXEXTUHY.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/m/m/k/-original-imagsp6bamdxpgfh.jpeg?q=70']
Godrej,EI 18PINV4R32-WWP,1.5 Ton,5250 W,Rotary,Yes,R - 32,92 cm x 32 cm x 24 cm,10.7 kg,84 cm x 56 cm x 30 cm,25 kg,4.6 W/W,883.14 kWh,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-5-ton-4-star-split-inverter-way-swing-tri-filtration-system-ac-white/p/itm92d4a7cacbb52?pid=ACNGMXHAWXBHVFJE&lid=LSTACNGMXHAWXBHVFJEOHRWAM&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGMXHAWXBHVFJE.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/q/2/y/-original-imagz59tfm2hgr2m.jpeg?q=70']
Lloyd,GLS18I5FWGCA,1.5 Ton,5220 W,Rotary,Yes,R - 32,97 cm x 32 cm x 22 cm,11.5 kg,89.8 cm x 59.3 cm x 36.3 cm,29.3 kg,5.09 W/W,794.34 kWh,https://www.flipkart.com/lloyd-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itm88459a00f30a2?pid=ACNGPHRZ6UQ6AQPF&lid=LSTACNGPHRZ6UQ6AQPFO4X0H1&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGPHRZ6UQ6AQPF.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/x/h/c/-original-imagsp6bhewxgexu.jpeg?q=70']
Panasonic,CS/CU-SU18YKYWT,1.5 Ton,5050 W,Inverter Compressor,Yes,R - 32,87 cm x 29 cm x 20.4 cm,9 kg,78 cm x 55.7 cm x 24.1 cm,26 kg,3.9 W/W,1002.72 kWh,https://www.flipkart.com/panasonic-convertible-7-in-1-additional-ai-mode-cooling-2023-model-1-5-ton-3-star-split-inverter-2-way-swing-pm-0-1-air-purification-filter-ac-wi-fi-connect-white/p/itm690062d929416?pid=ACNGHHH24J62PGNV&lid=LSTACNGHHH24J62PGNVODJGXG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHHH24J62PGNV.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/q/l/z/-original-imagn9twufudm57a.jpeg?q=70']
